# MEAN_SAMPLE_SIZE = 2613
# TOTAL_GENES = 14594
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                               TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Kidney.Proximal_tubule_cell_...2      COVAR   14594    -0.084834    -0.011221     0.098337      0.80584 Kidney.Proximal_tubule_cell_Osgin1_high
Kidney.S1_proximal_tubule_ce...       COVAR   14594     0.033061    0.0043885     0.096542      0.36601 Kidney.S1_proximal_tubule_cells
Kidney.S3_proximal_tubule_ce...       COVAR   14594     0.019159    0.0030192     0.080825      0.40632 Kidney.S3_proximal_tubule_cells
Kidney.Stromal_cell_Ankrd1_h...       COVAR   14594     0.030803    0.0032089      0.10919      0.38893 Kidney.Stromal_cell_Ankrd1_high
Kidney.Stromal_cell_Cxcl10_h...       COVAR   14594     0.040147    0.0054181     0.089749      0.32733 Kidney.Stromal_cell_Cxcl10_high
Kidney.Stromal_cell_Dcn_high          COVAR   14594     -0.16337    -0.022672      0.10029      0.94832 Kidney.Stromal_cell_Dcn_high
Kidney.Stromal_cell_Mgp_high          COVAR   14594    -0.051229   -0.0073825     0.079421      0.74054 Kidney.Stromal_cell_Mgp_high
Kidney.Stromal_cell_Ptgds_hi...       COVAR   14594     0.033089    0.0038542       0.1312      0.40045 Kidney.Stromal_cell_Ptgds_high
Kidney.T_cell                         COVAR   14594      -0.0853   -0.0095018      0.13754      0.73242 Kidney.T_cell
Kidney.Thick_ascending_limb_...       COVAR   14594     0.017633    0.0018607      0.13553      0.44824 Kidney.Thick_ascending_limb_of_the_loop_of_Henle
Kidney.Ureteric_epithelium            COVAR   14594     0.017792    0.0026319     0.094397      0.42525 Kidney.Ureteric_epithelium
Liver.B_cell_Fcmr_high                COVAR   14594      0.16512     0.016383      0.13564      0.11175 Liver.B_cell_Fcmr_high
Liver.B_cell_Jchain_high              COVAR   14594     0.021406    0.0026249      0.10369      0.41822 Liver.B_cell_Jchain_high
Liver.Dendritic_cell_Cst3_hi...       COVAR   14594      0.26319      0.02714      0.14913     0.038805 Liver.Dendritic_cell_Cst3_high
Liver.Dendritic_cell_Siglech...       COVAR   14594      0.20516     0.021499      0.12623      0.05206 Liver.Dendritic_cell_Siglech_high
Liver.Endothelial_cell                COVAR   14594      0.23137     0.021003       0.1447     0.054919 Liver.Endothelial_cell
Liver.Epithelia_cell_Spp1_hi...       COVAR   14594     -0.08338    -0.008246      0.14646      0.71542 Liver.Epithelia_cell_Spp1_high
Liver.Epithelial_cell                 COVAR   14594    0.0048308   0.00082501     0.072078      0.47328 Liver.Epithelial_cell
Liver.Erythroblast_Hbb.bs_hi...       COVAR   14594      0.23542      0.02085      0.15438     0.063652 Liver.Erythroblast_Hbb.bs_high
Liver.Erythroblast_Hbb.bt_hi...       COVAR   14594    -0.021624   -0.0026389     0.088188      0.59685 Liver.Erythroblast_Hbb.bt_high
Liver.Granulocyte                     COVAR   14594     0.048546    0.0048968      0.12834      0.35263 Liver.Granulocyte
Liver.Hepatocyte_Fabp1_high           COVAR   14594    -0.086152    -0.011292     0.090931      0.82829 Liver.Hepatocyte_Fabp1_high
Liver.Hepatocyte_mt.Nd4_high          COVAR   14594      0.03127    0.0063196     0.046675      0.25145 Liver.Hepatocyte_mt.Nd4_high
Liver.Kuppfer_cell                    COVAR   14594      0.22791     0.024234      0.12183     0.030705 Liver.Kuppfer_cell
Liver.Macrophage_Chil3_high           COVAR   14594      0.22855     0.022949      0.14541      0.05802 Liver.Macrophage_Chil3_high
Liver.Neutrophil_Ngp_high             COVAR   14594     0.048019    0.0058722     0.088431      0.29356 Liver.Neutrophil_Ngp_high
Liver.Pericentral_                    COVAR   14594    -0.058539   -0.0074545     0.094013      0.73324 Liver.Pericentral_
Liver.Periportal_                     COVAR   14594    -0.015529   -0.0029306     0.056249      0.60875 Liver.Periportal_
Liver.Stromal_cell                    COVAR   14594      0.19306     0.024643     0.090731     0.016682 Liver.Stromal_cell
Liver.T_cell_Gzma_high                COVAR   14594     0.087933    0.0089863      0.12673      0.24389 Liver.T_cell_Gzma_high
Liver.T_cell_Trbc2_high               COVAR   14594      0.11722     0.011447      0.15277      0.22145 Liver.T_cell_Trbc2_high
Lung.Alveolar_bipotent_proge...       COVAR   14594     0.044091    0.0065727     0.090576      0.31321 Lung.Alveolar_bipotent_progenitor
Lung.Alveolar_macrophage_Ear...       COVAR   14594      0.20698       0.0222       0.1492     0.082692 Lung.Alveolar_macrophage_Ear2_high
Lung.Alveolar_macrophage_Pcl...       COVAR   14594     0.058043    0.0075151      0.10751      0.29465 Lung.Alveolar_macrophage_Pclaf_high
Lung.AT1_Cell                         COVAR   14594      0.03652    0.0040265      0.11878      0.37925 Lung.AT1_Cell
Lung.AT2_Cell                         COVAR   14594       0.3173      0.03619      0.13728     0.010415 Lung.AT2_Cell
Lung.B_Cell                           COVAR   14594     0.012961    0.0013377      0.14881       0.4653 Lung.B_Cell
Lung.Ciliated_cell                    COVAR   14594    -0.010959   -0.0014105      0.10077       0.5433 Lung.Ciliated_cell
Lung.Clara_Cell                       COVAR   14594     -0.13084     -0.01552      0.12706      0.84842 Lung.Clara_Cell
Lung.Conventional_dendritic_...1      COVAR   14594      0.21671     0.020265      0.15151     0.076328 Lung.Conventional_dendritic_cell_Gngt2_high
Lung.Conventional_dendritic_...2      COVAR   14594     0.015161    0.0021657     0.081626      0.42633 Lung.Conventional_dendritic_cell_H2.M2_high
Lung.Conventional_dendritic_...3      COVAR   14594       0.1233     0.014573      0.12114      0.15439 Lung.Conventional_dendritic_cell_Mgl2_high
Lung.Conventional_dendritic_...4      COVAR   14594      0.19187     0.026186     0.098141     0.025299 Lung.Conventional_dendritic_cell_Tubb5_high
Lung.Dendritic_cell_Naaa_high         COVAR   14594       0.1515     0.017027      0.13833      0.13671 Lung.Dendritic_cell_Naaa_high
Lung.Dividing_cells                   COVAR   14594      0.21389     0.032556      0.09849     0.014947 Lung.Dividing_cells
Lung.Dividing_dendritic_cells         COVAR   14594     0.037651    0.0055665     0.094902      0.34579 Lung.Dividing_dendritic_cells
Lung.Dividing_T_cells                 COVAR   14594    -0.058595   -0.0085333      0.10399      0.71345 Lung.Dividing_T_cells
Lung.Endothelial_cell_Kdr_hi...       COVAR   14594     0.062087    0.0062849      0.11539      0.29527 Lung.Endothelial_cell_Kdr_high
Lung.Endothelial_cell_Tmem10...       COVAR   14594     0.010753    0.0010971      0.12851      0.46666 Lung.Endothelial_cell_Tmem100_high
Lung.Endothelial_cells_Vwf_h...       COVAR   14594     -0.03285   -0.0045606     0.094134      0.63644 Lung.Endothelial_cells_Vwf_high
Lung.Eosinophil_granulocyte           COVAR   14594    -0.059665   -0.0066844     0.095247      0.73448 Lung.Eosinophil_granulocyte
Lung.Ig.producing_B_cell              COVAR   14594     0.035601     0.007293     0.046706      0.22297 Lung.Ig.producing_B_cell
Lung.Interstitial_macrophage          COVAR   14594      0.36692     0.037926      0.14963     0.007105 Lung.Interstitial_macrophage
Lung.Monocyte_progenitor_cell         COVAR   14594     0.014155    0.0028344     0.069897      0.41976 Lung.Monocyte_progenitor_cell
Lung.Neutrophil_granulocyte           COVAR   14594     -0.12306    -0.015815     0.098726      0.89369 Lung.Neutrophil_granulocyte
Lung.NK_Cell                          COVAR   14594      0.10434    0.0091189      0.17169      0.27169 Lung.NK_Cell
Lung.Nuocyte                          COVAR   14594     -0.10143    -0.009983      0.13557      0.77282 Lung.Nuocyte
Lung.Plasmacytoid_dendritic_...       COVAR   14594      0.21344     0.020809      0.16625     0.099609 Lung.Plasmacytoid_dendritic_cell
Lung.Stromal_cell_Acta2_high          COVAR   14594     -0.11309    -0.012191      0.11587      0.83546 Lung.Stromal_cell_Acta2_high
Lung.Stromal_cell_Dcn_high            COVAR   14594     -0.18992    -0.024647      0.10833       0.9602 Lung.Stromal_cell_Dcn_high
Lung.Stromal_cell_Inmt_high           COVAR   14594     -0.10834    -0.012861      0.11638      0.82403 Lung.Stromal_cell_Inmt_high
Lung.T_Cell_Cd8b1_high                COVAR   14594    -0.097482   -0.0086612      0.15566      0.73442 Lung.T_Cell_Cd8b1_high
Mammary_Gland.Adiocyte_cell           COVAR   14594     0.091615    0.0048394      0.24308      0.35313 Mammary_Gland.Adiocyte_cell
Mammary_Gland.B_cell_Cd79a_h...       COVAR   14594     0.033719    0.0033986      0.12608      0.39456 Mammary_Gland.B_cell_Cd79a_high
Mammary_Gland.B_cell_Cd79a.F...       COVAR   14594     -0.15825    -0.016155      0.14088      0.86934 Mammary_Gland.B_cell_Cd79a.Fcer2a_high
Mammary_Gland.B_cell_Cd79a.I...       COVAR   14594      0.12069     0.011253      0.15945      0.22456 Mammary_Gland.B_cell_Cd79a.Iglc2_high
Mammary_Gland.B_cell_Igkv6.1...       COVAR   14594      0.13508    0.0088694      0.17763       0.2235 Mammary_Gland.B_cell_Igkv6.15_high
Mammary_Gland.B_cell_Igkv6.2...       COVAR   14594    -0.047012   -0.0035385      0.14061      0.63093 Mammary_Gland.B_cell_Igkv6.23_high
Mammary_Gland.B_cell_Jchain_...       COVAR   14594      -0.3258    -0.019772      0.25417      0.90004 Mammary_Gland.B_cell_Jchain_high
Mammary_Gland.B_cell_Ly6d_hi...       COVAR   14594     -0.11894    -0.012608      0.17101      0.75664 Mammary_Gland.B_cell_Ly6d_high
Mammary_Gland.Dendritic_cell          COVAR   14594      0.13062    0.0081591      0.18751      0.24303 Mammary_Gland.Dendritic_cell
Mammary_Gland.Dendritic_cell...1      COVAR   14594      0.17579     0.021027      0.10653     0.049459 Mammary_Gland.Dendritic_cell_Ccl22_high
Mammary_Gland.Dendritic_cell...2      COVAR   14594     0.071876     0.011836     0.093889      0.22198 Mammary_Gland.Dendritic_cell_Cd209a_high
Mammary_Gland.Dendritic_cell...3      COVAR   14594      0.18491     0.023863      0.13436     0.084388 Mammary_Gland.Dendritic_cell_Cst3_high
Mammary_Gland.Dendritic_cell...4      COVAR   14594     0.094848     0.012619      0.11416      0.20305 Mammary_Gland.Dendritic_cell_Fscn1_high
Mammary_Gland.Dendritic_cell...5      COVAR   14594      0.10854     0.013656     0.095972      0.12905 Mammary_Gland.Dendritic_cell_Il1b_high
Mammary_Gland.Dendritic_cell...6      COVAR   14594     -0.10752     -0.01083      0.13812      0.78185 Mammary_Gland.Dendritic_cell_Siglech_high
Mammary_Gland.Dividing_cell           COVAR   14594   -0.0052522  -0.00082577      0.11184      0.51873 Mammary_Gland.Dividing_cell
Mammary_Gland.Ductal_luminal...       COVAR   14594     -0.20657    -0.017613      0.24406      0.80133 Mammary_Gland.Ductal_luminal_cell
