# MEAN_SAMPLE_SIZE = 39955
# TOTAL_GENES = 14974
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                   TYPE  NGENES         BETA     BETA_STD           SE            P
GP.Mitotic                COVAR   14974     0.002388    0.0077746    0.0035736        0.252
GP.Astrocyte              COVAR   14974     0.015049     0.039273    0.0084019      0.03665
GP.Ependymal              COVAR   14974   -0.0047227    -0.013841    0.0045818      0.84866
GP.Endothelial_stalk      COVAR   14974    -0.011104    -0.030162    0.0076142      0.92762
GP.Mural                  COVAR   14974    -0.020901    -0.054906    0.0073813      0.99768
GP.Endothelial_tip        COVAR   14974    -0.023948    -0.064877     0.007151      0.99959
HC.Neuron                 COVAR   14974     0.029025     0.078043    0.0068428   1.1159e-05
HC.Microglia              COVAR   14974     0.004515     0.012164    0.0067589      0.25207
HC.Macrophage             COVAR   14974   -0.0038222    -0.011239     0.004927      0.78105
HC.Ependymal              COVAR   14974   -0.0075241    -0.019801    0.0061128      0.89081
HC.Choroid_plexus         COVAR   14974   -0.0036129   -0.0097094    0.0057678      0.73447
HC.Neurogenesis           COVAR   14974   -0.0073251    -0.019721    0.0073763      0.83965
HC.Endothelial_stalk      COVAR   14974    -0.011485    -0.031331    0.0072409      0.94363
HC.Mural                  COVAR   14974    -0.023597    -0.063039     0.007465      0.99921
HC.Endothelial_tip        COVAR   14974    -0.024785    -0.064742    0.0074826      0.99954
HC.Astrocyte              COVAR   14974    0.0058776     0.015297    0.0089839      0.25649
HC.Oligodendrocyte        COVAR   14974      0.01123     0.029562    0.0084401      0.09167
HC.Polydendrocyte         COVAR   14974      0.01538     0.041418    0.0091159     0.045797
STR.Ependymal             COVAR   14974   -0.0056939    -0.014933    0.0061819      0.82148
STR.Neuron                COVAR   14974     0.017865     0.047664    0.0068631    0.0046244
STR.Neurogenesis          COVAR   14974    -0.010681    -0.029228    0.0065539      0.94841
STR.Oligodendrocyte       COVAR   14974     0.013301     0.035102    0.0083039     0.054612
STR.Astrocyte             COVAR   14974   -0.0059764    -0.015548    0.0083936      0.76177
STR.Polydendrocyte        COVAR   14974    0.0011464    0.0030296    0.0082511      0.44475
STR.Macrophage            COVAR   14974   -0.0026332   -0.0080251    0.0040732      0.74101
STR.Microglia             COVAR   14974    0.0043021     0.011547    0.0066702      0.25948
STR.Endothelial_stalk     COVAR   14974    -0.017231    -0.046821    0.0075841      0.98845
STR.Mural                 COVAR   14974    -0.026639    -0.071074    0.0070825      0.99992
STR.Endothelial_tip       COVAR   14974    -0.013427    -0.037615     0.006263      0.98397
SN.Neuron                 COVAR   14974     0.041048      0.10771     0.006881   1.2489e-09
SN.Oligodendrocyte        COVAR   14974     0.017962     0.045717    0.0091431     0.024741
SN.Endothelial_stalk      COVAR   14974    -0.010282    -0.027769    0.0075768      0.91261
SN.Mural                  COVAR   14974    -0.023798    -0.062204    0.0074265      0.99932
SN.Endothelial_tip        COVAR   14974    -0.014752    -0.036847    0.0063209      0.99019
SN.Polydendrocyte         COVAR   14974     0.026644     0.069982    0.0089874    0.0015178
SN.Astrocyte              COVAR   14974     0.011593     0.029321    0.0074298     0.059343
SN.Ependymal              COVAR   14974   -0.0045699    -0.014187    0.0038135       0.8846
SN.Macrophage             COVAR   14974  -0.00041541   -0.0011956     0.005475      0.53024
SN.Microglia              COVAR   14974  -0.00020474  -0.00063093    0.0036075      0.52263
TH.Neuron                 COVAR   14974     0.036718     0.095369    0.0070546   9.8434e-08
TH.Ependymal              COVAR   14974   -0.0033533   -0.0088608    0.0059816      0.71246
TH.Astrocyte              COVAR   14974      0.01254     0.032447    0.0077208     0.052182
TH.Polydendrocyte         COVAR   14974     0.019759     0.052776    0.0088687     0.012951
TH.Endothelial_stalk      COVAR   14974     -0.01497    -0.040164    0.0071268      0.98215
TH.Mural                  COVAR   14974    -0.013793    -0.036332     0.007909       0.9594
TH.Endothelial_tip        COVAR   14974    -0.014348    -0.038852    0.0066918      0.98398
TH.Macrophage             COVAR   14974   0.00033037   0.00095097    0.0052163      0.47475
TH.Microglia              COVAR   14974       0.0077     0.021629    0.0059807     0.098976
TH.Oligodendrocyte        COVAR   14974     0.019934     0.050775    0.0093342     0.016365
