# MEAN_SAMPLE_SIZE = 2613
# TOTAL_GENES = 14594
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                               TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Mammary_Gland_Lactation.Secr...37     COVAR   14594     -0.19106     -0.01292      0.16952      0.87013 Mammary_Gland_Lactation.Secretory_alveoli_cell_Igkv1.117_high
Mammary_Gland_Lactation.Secr...38     COVAR   14594      0.21204     0.014158      0.18795      0.12963 Mammary_Gland_Lactation.Secretory_alveoli_cell_Iglc1_high
Mammary_Gland_Lactation.Secr...39     COVAR   14594      0.38399     0.026475      0.19728     0.025814 Mammary_Gland_Lactation.Secretory_alveoli_cell_Igsf8_high
Mammary_Gland_Lactation.Secr...40     COVAR   14594   -0.0043004   -0.0002802      0.24316      0.50705 Mammary_Gland_Lactation.Secretory_alveoli_cell_Kif5b_high
Mammary_Gland_Lactation.Secr...41     COVAR   14594    -0.039315   -0.0025037      0.20695      0.57533 Mammary_Gland_Lactation.Secretory_alveoli_cell_Klf2_high
Mammary_Gland_Lactation.Secr...42     COVAR   14594     0.004825   0.00031068      0.25033      0.49231 Mammary_Gland_Lactation.Secretory_alveoli_cell_Klf6_high
Mammary_Gland_Lactation.Secr...43     COVAR   14594     0.060195    0.0042224       0.1601      0.35347 Mammary_Gland_Lactation.Secretory_alveoli_cell_Lgals1_high
Mammary_Gland_Lactation.Secr...44     COVAR   14594     -0.14968    -0.011006      0.15128      0.83876 Mammary_Gland_Lactation.Secretory_alveoli_cell_Ly6a_high
Mammary_Gland_Lactation.Secr...45     COVAR   14594      0.10298    0.0077008      0.18917      0.29309 Mammary_Gland_Lactation.Secretory_alveoli_cell_Lyz2_high
Mammary_Gland_Lactation.Secr...46     COVAR   14594     0.021715    0.0014464      0.19642      0.45599 Mammary_Gland_Lactation.Secretory_alveoli_cell_Malat1_high
Mammary_Gland_Lactation.Secr...47     COVAR   14594     0.054232    0.0034376      0.20477      0.39557 Mammary_Gland_Lactation.Secretory_alveoli_cell_Mat2a_high
Mammary_Gland_Lactation.Secr...48     COVAR   14594     -0.04705   -0.0029308      0.20938       0.5889 Mammary_Gland_Lactation.Secretory_alveoli_cell_Mrpl15_high
Mammary_Gland_Lactation.Secr...73     COVAR   14594       -0.223     -0.01373      0.25658       0.8076 Mammary_Gland_Lactation.Secretory_alveoli_cell_mt.Tp_high
Mammary_Gland_Lactation.Secr...49     COVAR   14594     0.087792     0.006072      0.16441      0.29668 Mammary_Gland_Lactation.Secretory_alveoli_cell_Naxd_high
Mammary_Gland_Lactation.Secr...50     COVAR   14594      0.10329    0.0066614      0.24161      0.33451 Mammary_Gland_Lactation.Secretory_alveoli_cell_Pa2g4_high
Mammary_Gland_Lactation.Secr...51     COVAR   14594    -0.027269   -0.0020469      0.15565      0.56954 Mammary_Gland_Lactation.Secretory_alveoli_cell_Prkcsh_high
Mammary_Gland_Lactation.Secr...52     COVAR   14594      0.11443    0.0077876      0.21977       0.3013 Mammary_Gland_Lactation.Secretory_alveoli_cell_Ptpn18_high
Mammary_Gland_Lactation.Secr...53     COVAR   14594     -0.11755   -0.0077697      0.17651      0.74727 Mammary_Gland_Lactation.Secretory_alveoli_cell_Rac2_high
Mammary_Gland_Lactation.Secr...54     COVAR   14594     0.014805   0.00096923      0.18614       0.4683 Mammary_Gland_Lactation.Secretory_alveoli_cell_Retnla_high
Mammary_Gland_Lactation.Secr...55     COVAR   14594    -0.006933  -0.00049154      0.16495      0.51676 Mammary_Gland_Lactation.Secretory_alveoli_cell_Rgs2_high_Rora_high
Mammary_Gland_Lactation.Secr...56     COVAR   14594      0.19444     0.013253      0.17092      0.12765 Mammary_Gland_Lactation.Secretory_alveoli_cell_Rhob_high
Mammary_Gland_Lactation.Secr...57     COVAR   14594     0.060254      0.00442      0.14332      0.33709 Mammary_Gland_Lactation.Secretory_alveoli_cell_S100a11_high
Mammary_Gland_Lactation.Secr...58     COVAR   14594      0.17666       0.0125      0.19225      0.17908 Mammary_Gland_Lactation.Secretory_alveoli_cell_Sars_high
Mammary_Gland_Lactation.Secr...59     COVAR   14594     0.083341    0.0055899      0.18769      0.32851 Mammary_Gland_Lactation.Secretory_alveoli_cell_Sh3bgrl3_high
Mammary_Gland_Lactation.Secr...60     COVAR   14594     0.062077    0.0043486       0.2112      0.38441 Mammary_Gland_Lactation.Secretory_alveoli_cell_Snord118_high
Mammary_Gland_Lactation.Secr...61     COVAR   14594      0.10175    0.0065697      0.25308      0.34382 Mammary_Gland_Lactation.Secretory_alveoli_cell_Spp1_high
Mammary_Gland_Lactation.Secr...62     COVAR   14594     0.045482    0.0030188      0.22886      0.42124 Mammary_Gland_Lactation.Secretory_alveoli_cell_Srsf11_high
Mammary_Gland_Lactation.Secr...63     COVAR   14594    0.0080481   0.00065292      0.15018      0.47863 Mammary_Gland_Lactation.Secretory_alveoli_cell_Taf1d_high
Mammary_Gland_Lactation.Secr...64     COVAR   14594      0.13372    0.0088626      0.16356       0.2068 Mammary_Gland_Lactation.Secretory_alveoli_cell_Thy1_high
Mammary_Gland_Lactation.Secr...65     COVAR   14594   -0.0045049  -0.00032052      0.15647      0.51148 Mammary_Gland_Lactation.Secretory_alveoli_cell_Tmem123_high
Mammary_Gland_Lactation.Secr...66     COVAR   14594     0.030199    0.0019424      0.18996      0.43684 Mammary_Gland_Lactation.Secretory_alveoli_cell_Tmsb10_high
Mammary_Gland_Lactation.Secr...67     COVAR   14594    -0.052731   -0.0038629      0.18506      0.61215 Mammary_Gland_Lactation.Secretory_alveoli_cell_Tubb5_high
Mammary_Gland_Lactation.Secr...68     COVAR   14594      0.26143        0.017      0.19462     0.089599 Mammary_Gland_Lactation.Secretory_alveoli_cell_Tyrobp_high
Mammary_Gland_Lactation.Secr...69     COVAR   14594    -0.011355  -0.00078988      0.20064      0.52256 Mammary_Gland_Lactation.Secretory_alveoli_cell_Ube2e3_high
Mammary_Gland_Lactation.Secr...70     COVAR   14594     0.012985   0.00079279      0.26233      0.48026 Mammary_Gland_Lactation.Secretory_alveoli_cell_Wfdc17_high
Mammary_Gland_Lactation.Secr...71     COVAR   14594     -0.12627    -0.010849      0.10745      0.88001 Mammary_Gland_Lactation.Secretory_alveoli_cell_Wfdc3.Wap_high
Mammary_Gland_Lactation.Secr...72     COVAR   14594      0.19112     0.012723      0.23566      0.20869 Mammary_Gland_Lactation.Secretory_alveoli_cell_Yif1b1_high
Mammary_Gland_Lactation.Stro...       COVAR   14594     -0.62518    -0.031022      0.31975      0.97471 Mammary_Gland_Lactation.Stromal_cell
Mammary_Gland_Lactation.T_ce...       COVAR   14594    -0.094658   -0.0059523      0.28127      0.63176 Mammary_Gland_Lactation.T_cell
Mammary_Gland_Pregnancy.B_ce...1      COVAR   14594    -0.022346   -0.0043808     0.048595      0.67718 Mammary_Gland_Pregnancy.B_cell_Jchain_high
Mammary_Gland_Pregnancy.B_ce...2      COVAR   14594     -0.13431    -0.014236      0.16764      0.78848 Mammary_Gland_Pregnancy.B_cell_Ly6d_high
Mammary_Gland_Pregnancy.Dend...1      COVAR   14594     0.058407     0.009618     0.089848      0.25783 Mammary_Gland_Pregnancy.Dendritic_cell_Cd209a_high
Mammary_Gland_Pregnancy.Dend...2      COVAR   14594    -0.031657   -0.0049843     0.087664      0.64099 Mammary_Gland_Pregnancy.Dendritic_cell_Fscn1_high
Mammary_Gland_Pregnancy.Duct...       COVAR   14594     -0.23955    -0.020424      0.24241      0.83847 Mammary_Gland_Pregnancy.Ductal_luminal_cell
Mammary_Gland_Pregnancy.Endo...       COVAR   14594     -0.14286    -0.019762     0.090237      0.94329 Mammary_Gland_Pregnancy.Endothelial_cell
Mammary_Gland_Pregnancy.Lumi...       COVAR   14594    0.0018912   0.00079766     0.031712      0.47622 Mammary_Gland_Pregnancy.Luminal_cell
Mammary_Gland_Pregnancy.Macr...       COVAR   14594      0.12455     0.027387     0.073754     0.045646 Mammary_Gland_Pregnancy.Macrophage
Mammary_Gland_Pregnancy.Mast...       COVAR   14594    -0.033373   -0.0047929     0.071591      0.67945 Mammary_Gland_Pregnancy.Mast_cell
Mammary_Gland_Pregnancy.Myel...       COVAR   14594     0.035558    0.0058693     0.093209      0.35142 Mammary_Gland_Pregnancy.Myeloid_leukocyte
Mammary_Gland_Pregnancy.Myoe...       COVAR   14594    -0.096592    -0.019882     0.075135      0.90069 Mammary_Gland_Pregnancy.Myoepithelial_cell
Mammary_Gland_Pregnancy.NK_c...1      COVAR   14594     -0.12432    -0.015388      0.13531      0.82089 Mammary_Gland_Pregnancy.NK_cell_Gzma_high
Mammary_Gland_Pregnancy.NK_c...2      COVAR   14594    -0.016523   -0.0043541     0.059161      0.60999 Mammary_Gland_Pregnancy.NK_cells_Gzmb_high
Mammary_Gland_Pregnancy.Secr...       COVAR   14594     0.068332     0.019192     0.064519      0.14478 Mammary_Gland_Pregnancy.Secretory_alveoli_cell
Mammary_Gland_Pregnancy.Stro...       COVAR   14594      -0.1238    -0.024753     0.076336      0.94757 Mammary_Gland_Pregnancy.Stromal_cell
Mammary_Gland_Pregnancy.T_ce...1      COVAR   14594     -0.22543    -0.023797      0.16844       0.9096 Mammary_Gland_Pregnancy.T_cell
Mammary_Gland_Pregnancy.T_ce...2      COVAR   14594     0.059186     0.010109      0.05349      0.13427 Mammary_Gland_Pregnancy.T_cell_Grwd1_high
Mammary_Gland_Virgin.B_cell_...1      COVAR   14594      -0.1693    -0.017284      0.14008      0.88659 Mammary_Gland_Virgin.B_cell_Cd79a.Fcer2a_high
Mammary_Gland_Virgin.B_cell_...2      COVAR   14594      0.10071    0.0093904      0.15496      0.25788 Mammary_Gland_Virgin.B_cell_Cd79a.Iglc2_high
Mammary_Gland_Virgin.B_cell_...3      COVAR   14594    -0.066522   -0.0091797     0.082239       0.7907 Mammary_Gland_Virgin.B_cell_Jchain_high
Mammary_Gland_Virgin.Dendrit...1      COVAR   14594      0.14765     0.019054      0.12453      0.11789 Mammary_Gland_Virgin.Dendritic_cell_Cst3_high
Mammary_Gland_Virgin.Dendrit...2      COVAR   14594     0.094754     0.012541      0.11072      0.19607 Mammary_Gland_Virgin.Dendritic_cell_Fscn1_high
Mammary_Gland_Virgin.Dendrit...3      COVAR   14594    -0.069896   -0.0073483      0.12857      0.70665 Mammary_Gland_Virgin.Dendritic_cell_Siglech_high
Mammary_Gland_Virgin.Dividin...       COVAR   14594    -0.010434   -0.0016405     0.097331      0.54269 Mammary_Gland_Virgin.Dividing_cell
Mammary_Gland_Virgin.Luminal...1      COVAR   14594     0.062753     0.010089      0.10423      0.27357 Mammary_Gland_Virgin.Luminal_cell_Krt19_high_
