# MEAN_SAMPLE_SIZE = 2613
# TOTAL_GENES = 14594
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                              TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Fetal_Lung.Smooth_muscle_cell        COVAR   14594     -0.39569    -0.045551      0.20159      0.97516 Fetal_Lung.Smooth_muscle_cell
Fetal_Lung.Stromal_cell_Ankf...      COVAR   14594     -0.59827    -0.065881      0.24208      0.99326 Fetal_Lung.Stromal_cell_Ankfy1_high
Fetal_Lung.Stromal_cell_Ptn_...      COVAR   14594     -0.42348    -0.046325      0.23516      0.96412 Fetal_Lung.Stromal_cell_Ptn_high
Fetal_Stomache.Acinar_cell_C...      COVAR   14594     -0.12182    -0.015057      0.16968      0.76359 Fetal_Stomache.Acinar_cell_Ctrb1_high
Fetal_Stomache.Acinar_cell_S...      COVAR   14594     -0.22596     -0.02678      0.19861      0.87236 Fetal_Stomache.Acinar_cell_Spp1_high
Fetal_Stomache.Endocrine_cell        COVAR   14594    -0.091196   -0.0089625      0.21129      0.66699 Fetal_Stomache.Endocrine_cell
Fetal_Stomache.Endocrine_pro...      COVAR   14594    -0.077592   -0.0083165      0.14941      0.69822 Fetal_Stomache.Endocrine_progenitor_cell
Fetal_Stomache.Epithelial_ce...      COVAR   14594     -0.25934    -0.027436      0.25128      0.84897 Fetal_Stomache.Epithelial_cell
Fetal_Stomache.Erythroblast_...1     COVAR   14594    -0.058441   -0.0070725      0.15077      0.65085 Fetal_Stomache.Erythroblast_Car2_high
Fetal_Stomache.Erythroblast_...2     COVAR   14594     -0.11318    -0.012107       0.1796      0.73572 Fetal_Stomache.Erythroblast_Hba.x_HIGH
Fetal_Stomache.Erythroblast_...3     COVAR   14594     -0.22621     -0.02142      0.29965      0.77484 Fetal_Stomache.Erythroblast_Hbb.bs_high
Fetal_Stomache.Erythroblast_...4     COVAR   14594    -0.045021    -0.006094      0.14633      0.62083 Fetal_Stomache.Erythroblast_Klf1_high
Fetal_Stomache.Erythroblast_...5     COVAR   14594    -0.053941      -0.0061      0.13472      0.65557 Fetal_Stomache.Erythroblast_Snca_high
Fetal_Stomache.Hepatocyte.Li...      COVAR   14594     0.015378    0.0026408     0.068145      0.41073 Fetal_Stomache.Hepatocyte.Like_Cell_
Fetal_Stomache.Immunocyte_Ly...      COVAR   14594     0.097703     0.011151      0.20578      0.31747 Fetal_Stomache.Immunocyte_Lyz2_high
Fetal_Stomache.Macrophage            COVAR   14594      0.30532     0.032011      0.23002     0.092204 Fetal_Stomache.Macrophage
Fetal_Stomache.Mast_cell             COVAR   14594     -0.50493    -0.057128      0.21522      0.99051 Fetal_Stomache.Mast_cell
Fetal_Stomache.Muscle_cell           COVAR   14594     -0.31679    -0.030737       0.2297      0.91607 Fetal_Stomache.Muscle_cell
Fetal_Stomache.Neuron                COVAR   14594     -0.17008    -0.017423      0.18101      0.82629 Fetal_Stomache.Neuron
Fetal_Stomache.Neutrophil            COVAR   14594     -0.10666     -0.01286      0.13114      0.79196 Fetal_Stomache.Neutrophil
Fetal_Stomache.Progenitor_ce...      COVAR   14594     -0.75463    -0.071391      0.26569      0.99774 Fetal_Stomache.Progenitor_cell
Fetal_Stomache.Stomach_cell_...      COVAR   14594     -0.47292    -0.045047      0.25026      0.97059 Fetal_Stomache.Stomach_cell_Kazald1_high
Fetal_Stomache.Stromal_cell_...1     COVAR   14594     -0.63154    -0.058664      0.28033      0.98786 Fetal_Stomache.Stromal_cell_Cdkn1c_high
Fetal_Stomache.Stromal_cell_...2     COVAR   14594     -0.44929    -0.044086      0.27471      0.94902 Fetal_Stomache.Stromal_cell_Dcn_high
Placenta.B_cell                      COVAR   14594    -0.014047   -0.0023844     0.052025      0.60642 Placenta.B_cell
Placenta.Basophil                    COVAR   14594     -0.10759    -0.011774      0.10911      0.83794 Placenta.Basophil
Placenta.Decidual_stromal_ce...      COVAR   14594    -0.048152   -0.0076665     0.083316      0.71835 Placenta.Decidual_stromal_cell
Placenta.Dendritic_cell              COVAR   14594      0.20301     0.020102       0.1436     0.078734 Placenta.Dendritic_cell
Placenta.Endodermal_cell_Afp...      COVAR   14594     0.039998    0.0067664     0.081836      0.31251 Placenta.Endodermal_cell_Afp_high
Placenta.Endothelial_cell_Ma...      COVAR   14594     -0.13715    -0.016161      0.14982      0.82002 Placenta.Endothelial_cell_Maged2_high
Placenta.Erythroblast_Hbb.y_...      COVAR   14594    -0.071583    -0.009817      0.09212      0.78143 Placenta.Erythroblast_Hbb.y_high
Placenta.Granulocyte_monocyt...      COVAR   14594     0.080984     0.012225      0.10222      0.21411 Placenta.Granulocyte_monocyte_progenitors
Placenta.Granulocyte_Neat1_h...      COVAR   14594     0.025827    0.0044796     0.051995       0.3097 Placenta.Granulocyte_Neat1_high
Placenta.Granulocyte_S100a9_...      COVAR   14594       0.0169    0.0021428     0.081766      0.41813 Placenta.Granulocyte_S100a9_high
Placenta.HSPC_Lmo2_high              COVAR   14594   -0.0085341    -0.001373       0.1203      0.52828 Placenta.HSPC_Lmo2_high
Placenta.Invasive_spongiotro...      COVAR   14594     0.074734    0.0091182      0.11889       0.2648 Placenta.Invasive_spongiotrophoblast
Placenta.Labyrinthine_tropho...      COVAR   14594     0.052971    0.0093239     0.073752      0.23631 Placenta.Labyrinthine_trophoblast
Placenta.Macrophage_Apoe_high        COVAR   14594      0.26932     0.032345      0.13167     0.020417 Placenta.Macrophage_Apoe_high
Placenta.Macrophage_Spp1_high        COVAR   14594     0.083067     0.012341      0.10314       0.2103 Placenta.Macrophage_Spp1_high
Placenta.Megakaryocyte_proge...      COVAR   14594      0.14509     0.019901     0.074555     0.025836 Placenta.Megakaryocyte_progenitor_cell
Placenta.Monocyte                    COVAR   14594      0.19209     0.019902      0.12739     0.065801 Placenta.Monocyte
Placenta.NK_cell                     COVAR   14594    -0.047721   -0.0081526     0.089801      0.70243 Placenta.NK_cell
Placenta.NKT_cell                    COVAR   14594    -0.060771   -0.0085867     0.099758       0.7288 Placenta.NKT_cell
Placenta.PE_lineage_cell_Gkn...      COVAR   14594     -0.05229    -0.006207      0.11514      0.67513 Placenta.PE_lineage_cell_Gkn2_high
Placenta.PE_lineage_cell_S10...      COVAR   14594    -0.084449   -0.0088105      0.15972      0.70151 Placenta.PE_lineage_cell_S100g_high
Placenta.Progenitor_trophobl...      COVAR   14594     0.031582    0.0050133      0.13022      0.40419 Placenta.Progenitor_trophoblast_Gjb3_high
Placenta.Spiral_artery_troph...      COVAR   14594     -0.18073    -0.027309      0.12644      0.92354 Placenta.Spiral_artery_trophoblast_giant_cells
Placenta.Spongiotrophoblast_...1     COVAR   14594      0.17414       0.0329       0.0813     0.016108 Placenta.Spongiotrophoblast_Hsd11b2_high
Placenta.Spongiotrophoblast_...2     COVAR   14594      0.13101     0.020066      0.11737      0.13218 Placenta.Spongiotrophoblast_Phlda2_high
Placenta.Stromal_cell                COVAR   14594    -0.019803   -0.0022631      0.16695      0.54721 Placenta.Stromal_cell
Placenta.Stromal_cell_Acta2_...      COVAR   14594     -0.18262    -0.022698        0.139      0.90553 Placenta.Stromal_cell_Acta2_high
Placenta.Trophoblast_progeni...      COVAR   14594     -0.11805    -0.012323       0.1181      0.84122 Placenta.Trophoblast_progenitor_Taf7l_high
