Index PThresh FE EmpPval NAnnotThesh NAnnot NThresh N Annotation Celltype Tissue Category 
8 0.1 1.06439 -1 50713 455173 158441 1513647 blueprint_neut_meth_M_fdr0.05 neut_meth blueprint all all2
8 0.01 1.19147 -1 6403 455173 17871 1513647 blueprint_neut_meth_M_fdr0.05 neut_meth blueprint all all2
8 0.001 1.4547 -1 1049 455173 2398 1513647 blueprint_neut_meth_M_fdr0.05 neut_meth blueprint all all2
8 0.0001 1.90791 -1 249 455173 434 1513647 blueprint_neut_meth_M_fdr0.05 neut_meth blueprint all all2
8 1e-05 2.43865 0 110 455173 150 1513647 blueprint_neut_meth_M_fdr0.05 neut_meth blueprint all all2
8 1e-06 2.65136 0 59 455173 74 1513647 blueprint_neut_meth_M_fdr0.05 neut_meth blueprint all all2
8 1e-07 2.55802 0.000118868 30 455173 39 1513647 blueprint_neut_meth_M_fdr0.05 neut_meth blueprint all all2
8 1e-08 2.66035 0.000415679 20 455173 25 1513647 blueprint_neut_meth_M_fdr0.05 neut_meth blueprint all all2
9 0.1 1.20939 -1 3805 30057 158441 1513647 blueprint_neut_psi_fdr0.05 neut_psi blueprint all all2
9 0.01 1.73021 -1 614 30057 17871 1513647 blueprint_neut_psi_fdr0.05 neut_psi blueprint all all2
9 0.001 2.85607 -1 136 30057 2398 1513647 blueprint_neut_psi_fdr0.05 neut_psi blueprint all all2
9 0.0001 5.80175 -1 50 30057 434 1513647 blueprint_neut_psi_fdr0.05 neut_psi blueprint all all2
9 1e-05 7.72175 0 23 30057 150 1513647 blueprint_neut_psi_fdr0.05 neut_psi blueprint all all2
9 1e-06 10.2079 0 15 30057 74 1513647 blueprint_neut_psi_fdr0.05 neut_psi blueprint all all2
9 1e-07 10.3301 0.000212934 8 30057 39 1513647 blueprint_neut_psi_fdr0.05 neut_psi blueprint all all2
9 1e-08 6.04311 0.108911 3 30057 25 1513647 blueprint_neut_psi_fdr0.05 neut_psi blueprint all all2
10 0.1 1.11447 -1 15036 128891 158441 1513647 blueprint_tcel_K27AC_log2rpm_fdr0.05 tcel_K27AC blueprint all all2
10 0.01 1.34712 -1 2050 128891 17871 1513647 blueprint_tcel_K27AC_log2rpm_fdr0.05 tcel_K27AC blueprint all all2
10 0.001 1.6063 -1 328 128891 2398 1513647 blueprint_tcel_K27AC_log2rpm_fdr0.05 tcel_K27AC blueprint all all2
10 0.0001 2.86826 -1 106 128891 434 1513647 blueprint_tcel_K27AC_log2rpm_fdr0.05 tcel_K27AC blueprint all all2
10 1e-05 4.2277 0 54 128891 150 1513647 blueprint_tcel_K27AC_log2rpm_fdr0.05 tcel_K27AC blueprint all all2
10 1e-06 5.71311 0 36 128891 74 1513647 blueprint_tcel_K27AC_log2rpm_fdr0.05 tcel_K27AC blueprint all all2
10 1e-07 6.92572 0 23 128891 39 1513647 blueprint_tcel_K27AC_log2rpm_fdr0.05 tcel_K27AC blueprint all all2
10 1e-08 7.51592 0 16 128891 25 1513647 blueprint_tcel_K27AC_log2rpm_fdr0.05 tcel_K27AC blueprint all all2
11 0.1 1.12877 -1 11723 99218 158441 1513647 blueprint_tcel_K4ME1_log2rpm_fdr0.05 tcel_K4ME1 blueprint all all2
11 0.01 1.41281 -1 1655 99218 17871 1513647 blueprint_tcel_K4ME1_log2rpm_fdr0.05 tcel_K4ME1 blueprint all all2
11 0.001 2.01035 -1 316 99218 2398 1513647 blueprint_tcel_K4ME1_log2rpm_fdr0.05 tcel_K4ME1 blueprint all all2
11 0.0001 3.55031 -1 101 99218 434 1513647 blueprint_tcel_K4ME1_log2rpm_fdr0.05 tcel_K4ME1 blueprint all all2
11 1e-05 5.59378 0 55 99218 150 1513647 blueprint_tcel_K4ME1_log2rpm_fdr0.05 tcel_K4ME1 blueprint all all2
11 1e-06 6.18477 0 30 99218 74 1513647 blueprint_tcel_K4ME1_log2rpm_fdr0.05 tcel_K4ME1 blueprint all all2
11 1e-07 8.21465 0 21 99218 39 1513647 blueprint_tcel_K4ME1_log2rpm_fdr0.05 tcel_K4ME1 blueprint all all2
11 1e-08 9.76369 0 16 99218 25 1513647 blueprint_tcel_K4ME1_log2rpm_fdr0.05 tcel_K4ME1 blueprint all all2
12 0.1 1.12659 -1 16680 141445 158441 1513647 blueprint_tcel_gene_nor_combat_fdr0.05 tcel_gene blueprint all all2
12 0.01 1.47247 -1 2459 141445 17871 1513647 blueprint_tcel_gene_nor_combat_fdr0.05 tcel_gene blueprint all all2
12 0.001 2.03048 -1 455 141445 2398 1513647 blueprint_tcel_gene_nor_combat_fdr0.05 tcel_gene blueprint all all2
12 0.0001 3.79724 -1 154 141445 434 1513647 blueprint_tcel_gene_nor_combat_fdr0.05 tcel_gene blueprint all all2
12 1e-05 6.2781 0 88 141445 150 1513647 blueprint_tcel_gene_nor_combat_fdr0.05 tcel_gene blueprint all all2
12 1e-06 6.50755 0 45 141445 74 1513647 blueprint_tcel_gene_nor_combat_fdr0.05 tcel_gene blueprint all all2
12 1e-07 6.03664 0 22 141445 39 1513647 blueprint_tcel_gene_nor_combat_fdr0.05 tcel_gene blueprint all all2
12 1e-08 6.84884 0 16 141445 25 1513647 blueprint_tcel_gene_nor_combat_fdr0.05 tcel_gene blueprint all all2
13 0.1 1.07224 -1 44277 394496 158441 1513647 blueprint_tcel_meth_M_fdr0.05 tcel_meth blueprint all all2
13 0.01 1.19545 -1 5568 394496 17871 1513647 blueprint_tcel_meth_M_fdr0.05 tcel_meth blueprint all all2
13 0.001 1.52805 -1 955 394496 2398 1513647 blueprint_tcel_meth_M_fdr0.05 tcel_meth blueprint all all2
13 0.0001 2.02455 -1 229 394496 434 1513647 blueprint_tcel_meth_M_fdr0.05 tcel_meth blueprint all all2
13 1e-05 2.68584 0 105 394496 150 1513647 blueprint_tcel_meth_M_fdr0.05 tcel_meth blueprint all all2
13 1e-06 2.90361 0 56 394496 74 1513647 blueprint_tcel_meth_M_fdr0.05 tcel_meth blueprint all all2
13 1e-07 2.95147 0 30 394496 39 1513647 blueprint_tcel_meth_M_fdr0.05 tcel_meth blueprint all all2
13 1e-08 3.22301 0 21 394496 25 1513647 blueprint_tcel_meth_M_fdr0.05 tcel_meth blueprint all all2
14 0.1 1.19772 -1 5788 46167 158441 1513647 blueprint_tcel_psi_fdr0.05 tcel_psi blueprint all all2
14 0.01 1.85112 -1 1009 46167 17871 1513647 blueprint_tcel_psi_fdr0.05 tcel_psi blueprint all all2
14 0.001 3.58216 -1 262 46167 2398 1513647 blueprint_tcel_psi_fdr0.05 tcel_psi blueprint all all2
14 0.0001 6.79901 -1 90 46167 434 1513647 blueprint_tcel_psi_fdr0.05 tcel_psi blueprint all all2
14 1e-05 11.3659 0 52 46167 150 1513647 blueprint_tcel_psi_fdr0.05 tcel_psi blueprint all all2
14 1e-06 11.5195 0 26 46167 74 1513647 blueprint_tcel_psi_fdr0.05 tcel_psi blueprint all all2
14 1e-07 9.24743 3e-05 11 46167 39 1513647 blueprint_tcel_psi_fdr0.05 tcel_psi blueprint all all2
14 1e-08 6.55727 0.0320513 5 46167 25 1513647 blueprint_tcel_psi_fdr0.05 tcel_psi blueprint all all2
15 0.1 1.16631 -1 18813 154099 158441 1513647 cmc_eQTL_fdr0.05.chrpos dlpfc_eQTL cmc all all2
15 0.01 1.47852 -1 2690 154099 17871 1513647 cmc_eQTL_fdr0.05.chrpos dlpfc_eQTL cmc all all2
15 0.001 2.15048 -1 525 154099 2398 1513647 cmc_eQTL_fdr0.05.chrpos dlpfc_eQTL cmc all all2
15 0.0001 3.64385 -1 161 154099 434 1513647 cmc_eQTL_fdr0.05.chrpos dlpfc_eQTL cmc all all2
15 1e-05 5.50063 0 84 154099 150 1513647 cmc_eQTL_fdr0.05.chrpos dlpfc_eQTL cmc all all2
15 1e-06 6.23865 0 47 154099 74 1513647 cmc_eQTL_fdr0.05.chrpos dlpfc_eQTL cmc all all2
