Index PThresh FE EmpPval NAnnotThesh NAnnot NThresh N Annotation Celltype Tissue Type Category
8 0.001 1.9682 -1 663 46632 1899 262885 blueprint_neut_meth_M_fdr0.05 neut mQTL blueprint1 blueprint
8 0.0001 2.3944 -1 158 46632 372 262885 blueprint_neut_meth_M_fdr0.05 neut mQTL blueprint1 blueprint
8 1e-05 3.32206 7e-05 66 46632 112 262885 blueprint_neut_meth_M_fdr0.05 neut mQTL blueprint1 blueprint
8 1e-06 3.63089 0.000458442 38 46632 59 262885 blueprint_neut_meth_M_fdr0.05 neut mQTL blueprint1 blueprint
8 1e-07 3.56654 0.00159337 31 46632 49 262885 blueprint_neut_meth_M_fdr0.05 neut mQTL blueprint1 blueprint
8 1e-08 3.75829 0.00255232 28 46632 42 262885 blueprint_neut_meth_M_fdr0.05 neut mQTL blueprint1 blueprint
9 0.1 1.50201 -1 1116 2877 67892 262885 blueprint_neut_psi_fdr0.05 neut psiQTL blueprint1 blueprint
9 0.01 2.21467 -1 282 2877 11635 262885 blueprint_neut_psi_fdr0.05 neut psiQTL blueprint1 blueprint
9 0.001 3.27197 -1 68 2877 1899 262885 blueprint_neut_psi_fdr0.05 neut psiQTL blueprint1 blueprint
9 0.0001 3.93009 -1 16 2877 372 262885 blueprint_neut_psi_fdr0.05 neut psiQTL blueprint1 blueprint
9 1e-05 8.9743 0.00151217 11 2877 112 262885 blueprint_neut_psi_fdr0.05 neut psiQTL blueprint1 blueprint
9 1e-06 9.29234 0.0146413 6 2877 59 262885 blueprint_neut_psi_fdr0.05 neut psiQTL blueprint1 blueprint
9 1e-07 5.59437 0.168317 3 2877 49 262885 blueprint_neut_psi_fdr0.05 neut psiQTL blueprint1 blueprint
9 1e-08 2.17559 0.792079 1 2877 42 262885 blueprint_neut_psi_fdr0.05 neut psiQTL blueprint1 blueprint
10 0.1 1.49282 -1 4493 11654 67892 262885 blueprint_tcel_K27AC_log2rpm_fdr0.05 tcel aceQTL blueprint1 blueprint
10 0.01 2.02988 -1 1047 11654 11635 262885 blueprint_tcel_K27AC_log2rpm_fdr0.05 tcel aceQTL blueprint1 blueprint
10 0.001 2.5539 -1 215 11654 1899 262885 blueprint_tcel_K27AC_log2rpm_fdr0.05 tcel aceQTL blueprint1 blueprint
10 0.0001 3.6383 -1 60 11654 372 262885 blueprint_tcel_K27AC_log2rpm_fdr0.05 tcel aceQTL blueprint1 blueprint
10 1e-05 4.63234 0.00571755 23 11654 112 262885 blueprint_tcel_K27AC_log2rpm_fdr0.05 tcel aceQTL blueprint1 blueprint
10 1e-06 3.8233 0.178218 10 11654 59 262885 blueprint_tcel_K27AC_log2rpm_fdr0.05 tcel aceQTL blueprint1 blueprint
10 1e-07 2.76214 0.475248 6 11654 49 262885 blueprint_tcel_K27AC_log2rpm_fdr0.05 tcel aceQTL blueprint1 blueprint
10 1e-08 3.2225 0.386139 6 11654 42 262885 blueprint_tcel_K27AC_log2rpm_fdr0.05 tcel aceQTL blueprint1 blueprint
11 0.1 1.48578 -1 3374 8793 67892 262885 blueprint_tcel_K4ME1_log2rpm_fdr0.05 tcel aceQTL blueprint1 blueprint
11 0.01 1.97601 -1 769 8793 11635 262885 blueprint_tcel_K4ME1_log2rpm_fdr0.05 tcel aceQTL blueprint1 blueprint
11 0.001 2.55046 -1 162 8793 1899 262885 blueprint_tcel_K4ME1_log2rpm_fdr0.05 tcel aceQTL blueprint1 blueprint
11 0.0001 3.69695 -1 46 8793 372 262885 blueprint_tcel_K4ME1_log2rpm_fdr0.05 tcel aceQTL blueprint1 blueprint
11 1e-05 4.27101 0.0465116 16 8793 112 262885 blueprint_tcel_K4ME1_log2rpm_fdr0.05 tcel aceQTL blueprint1 blueprint
11 1e-06 2.53365 0.683168 5 8793 59 262885 blueprint_tcel_K4ME1_log2rpm_fdr0.05 tcel aceQTL blueprint1 blueprint
11 1e-07 1.22029 0.891089 2 8793 49 262885 blueprint_tcel_K4ME1_log2rpm_fdr0.05 tcel aceQTL blueprint1 blueprint
11 1e-08 1.42367 0.821782 2 8793 42 262885 blueprint_tcel_K4ME1_log2rpm_fdr0.05 tcel aceQTL blueprint1 blueprint
12 0.1 1.50281 -1 5099 13138 67892 262885 blueprint_tcel_gene_nor_combat_fdr0.05 tcel eQTL blueprint1 blueprint
12 0.01 2.09984 -1 1221 13138 11635 262885 blueprint_tcel_gene_nor_combat_fdr0.05 tcel eQTL blueprint1 blueprint
12 0.001 2.571 -1 244 13138 1899 262885 blueprint_tcel_gene_nor_combat_fdr0.05 tcel eQTL blueprint1 blueprint
12 0.0001 3.33492 -1 62 13138 372 262885 blueprint_tcel_gene_nor_combat_fdr0.05 tcel eQTL blueprint1 blueprint
12 1e-05 4.28775 0.0260417 24 13138 112 262885 blueprint_tcel_gene_nor_combat_fdr0.05 tcel eQTL blueprint1 blueprint
12 1e-06 2.71315 0.633663 8 13138 59 262885 blueprint_tcel_gene_nor_combat_fdr0.05 tcel eQTL blueprint1 blueprint
12 1e-07 2.04179 0.910891 5 13138 49 262885 blueprint_tcel_gene_nor_combat_fdr0.05 tcel eQTL blueprint1 blueprint
12 1e-08 1.90567 0.950495 4 13138 42 262885 blueprint_tcel_gene_nor_combat_fdr0.05 tcel eQTL blueprint1 blueprint
13 0.1 1.38296 -1 13986 39159 67892 262885 blueprint_tcel_meth_M_fdr0.05 tcel mQTL blueprint1 blueprint
13 0.01 1.73501 -1 3007 39159 11635 262885 blueprint_tcel_meth_M_fdr0.05 tcel mQTL blueprint1 blueprint
13 0.001 2.03272 -1 575 39159 1899 262885 blueprint_tcel_meth_M_fdr0.05 tcel mQTL blueprint1 blueprint
13 0.0001 2.70696 -1 150 39159 372 262885 blueprint_tcel_meth_M_fdr0.05 tcel mQTL blueprint1 blueprint
13 1e-05 3.5964 3e-05 60 39159 112 262885 blueprint_tcel_meth_M_fdr0.05 tcel mQTL blueprint1 blueprint
13 1e-06 3.86866 0.0011439 34 39159 59 262885 blueprint_tcel_meth_M_fdr0.05 tcel mQTL blueprint1 blueprint
13 1e-07 3.69915 0.00733138 27 39159 49 262885 blueprint_tcel_meth_M_fdr0.05 tcel mQTL blueprint1 blueprint
13 1e-08 3.83616 0.00526316 24 39159 42 262885 blueprint_tcel_meth_M_fdr0.05 tcel mQTL blueprint1 blueprint
14 0.1 1.55396 -1 1702 4241 67892 262885 blueprint_tcel_psi_fdr0.05 tcel psiQTL blueprint1 blueprint
14 0.01 2.38143 -1 447 4241 11635 262885 blueprint_tcel_psi_fdr0.05 tcel psiQTL blueprint1 blueprint
14 0.001 3.26417 -1 100 4241 1899 262885 blueprint_tcel_psi_fdr0.05 tcel psiQTL blueprint1 blueprint
