Cell_Type,Index,PThresh,FE,EmpPval,NAnnotThesh,NAnnot,NThresh,N,Annotation,Datatype,Type,Category,Trait,Dataset,Sig
monocytes,1,0.001,2.63234,-1,773,27469,1490,139377,blueprint_mono_K4ME1_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,
monocytes,1,1e-04,2.98909,-1,400,27469,679,139377,blueprint_mono_K4ME1_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,
monocytes,1,1e-05,3.12146,0,243,27469,395,139377,blueprint_mono_K4ME1_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,0
monocytes,1,1e-06,3.09974,0,168,27469,275,139377,blueprint_mono_K4ME1_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,0
monocytes,1,1e-07,3.08623,0,118,27469,194,139377,blueprint_mono_K4ME1_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,0
monocytes,1,1e-08,3.09476,0,86,27469,141,139377,blueprint_mono_K4ME1_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,0
monocytes,2,0.1,1.60159,-1,4564,14521,27352,139377,blueprint_mono_gene_nor_combat_fdr0.05,eQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_eQTL,
monocytes,2,0.01,2.67282,-1,1389,14521,4988,139377,blueprint_mono_gene_nor_combat_fdr0.05,eQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_eQTL,
monocytes,2,0.001,3.71049,-1,576,14521,1490,139377,blueprint_mono_gene_nor_combat_fdr0.05,eQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_eQTL,
monocytes,2,1e-04,4.35387,-1,308,14521,679,139377,blueprint_mono_gene_nor_combat_fdr0.05,eQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_eQTL,
monocytes,2,1e-05,4.42251,0,182,14521,395,139377,blueprint_mono_gene_nor_combat_fdr0.05,eQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_eQTL,0
monocytes,2,1e-06,4.43267,0,127,14521,275,139377,blueprint_mono_gene_nor_combat_fdr0.05,eQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_eQTL,0
monocytes,2,1e-07,4.35387,0,88,14521,194,139377,blueprint_mono_gene_nor_combat_fdr0.05,eQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_eQTL,0
monocytes,2,1e-08,4.42475,0,65,14521,141,139377,blueprint_mono_gene_nor_combat_fdr0.05,eQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_eQTL,0
monocytes,3,0.1,1.40878,-1,11423,41318,27352,139377,blueprint_mono_meth_M_fdr0.05,mQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_mQTL,
monocytes,3,0.01,1.90981,-1,2824,41318,4988,139377,blueprint_mono_meth_M_fdr0.05,mQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_mQTL,
monocytes,3,0.001,2.31828,-1,1024,41318,1490,139377,blueprint_mono_meth_M_fdr0.05,mQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_mQTL,
monocytes,3,1e-04,2.57343,-1,518,41318,679,139377,blueprint_mono_meth_M_fdr0.05,mQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_mQTL,
monocytes,3,1e-05,2.66446,0,312,41318,395,139377,blueprint_mono_meth_M_fdr0.05,mQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_mQTL,0
monocytes,3,1e-06,2.69862,0,220,41318,275,139377,blueprint_mono_meth_M_fdr0.05,mQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_mQTL,0
monocytes,3,1e-07,2.72992,0,157,41318,194,139377,blueprint_mono_meth_M_fdr0.05,mQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_mQTL,0
monocytes,3,1e-08,2.7991,0,117,41318,141,139377,blueprint_mono_meth_M_fdr0.05,mQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_mQTL,0
monocytes,4,0.1,1.78177,-1,1142,3266,27352,139377,blueprint_mono_psi_fdr0.05,psiQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_psiQTL,
monocytes,4,0.01,3.48211,-1,407,3266,4988,139377,blueprint_mono_psi_fdr0.05,psiQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_psiQTL,
monocytes,4,0.001,5.81413,-1,203,3266,1490,139377,blueprint_mono_psi_fdr0.05,psiQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_psiQTL,
monocytes,4,1e-04,6.72495,-1,107,3266,679,139377,blueprint_mono_psi_fdr0.05,psiQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_psiQTL,
monocytes,4,1e-05,7.34661,0,68,3266,395,139377,blueprint_mono_psi_fdr0.05,psiQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_psiQTL,0
monocytes,4,1e-06,8.22466,0,53,3266,275,139377,blueprint_mono_psi_fdr0.05,psiQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_psiQTL,0
monocytes,4,1e-07,8.35905,0,38,3266,194,139377,blueprint_mono_psi_fdr0.05,psiQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_psiQTL,0
monocytes,4,1e-08,8.77716,0,29,3266,141,139377,blueprint_mono_psi_fdr0.05,psiQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_psiQTL,0
neutrocytes,5,0.1,1.60974,-1,4241,13425,27352,139377,blueprint_neut_K27AC_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,
neutrocytes,5,0.01,2.52263,-1,1212,13425,4988,139377,blueprint_neut_K27AC_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,
neutrocytes,5,0.001,3.47689,-1,499,13425,1490,139377,blueprint_neut_K27AC_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,
neutrocytes,5,1e-04,3.96011,-1,259,13425,679,139377,blueprint_neut_K27AC_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,
neutrocytes,5,1e-05,3.88993,0,148,13425,395,139377,blueprint_neut_K27AC_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,0
neutrocytes,5,1e-06,4.11501,0,109,13425,275,139377,blueprint_neut_K27AC_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,0
neutrocytes,5,1e-07,3.96011,0,74,13425,194,139377,blueprint_neut_K27AC_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,0
neutrocytes,5,1e-08,4.19694,0,57,13425,141,139377,blueprint_neut_K27AC_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,0
neutrocytes,6,0.1,1.53685,-1,5921,19632,27352,139377,blueprint_neut_K4ME1_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,
neutrocytes,6,0.01,2.24883,-1,1580,19632,4988,139377,blueprint_neut_K4ME1_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,
neutrocytes,6,0.001,2.8255,-1,593,19632,1490,139377,blueprint_neut_K4ME1_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,
neutrocytes,6,1e-04,3.26221,-1,312,19632,679,139377,blueprint_neut_K4ME1_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,
neutrocytes,6,1e-05,3.19926,0,178,19632,395,139377,blueprint_neut_K4ME1_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,0
neutrocytes,6,1e-06,3.14959,0,122,19632,275,139377,blueprint_neut_K4ME1_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,0
neutrocytes,6,1e-07,3.074,0.000108192,84,19632,194,139377,blueprint_neut_K4ME1_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,0.000108192
neutrocytes,6,1e-08,3.17211,0.00032684,63,19632,141,139377,blueprint_neut_K4ME1_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,0.00032684
neutrocytes,7,0.1,1.63704,-1,4027,12535,27352,139377,blueprint_neut_gene_nor_combat_fdr0.05,eQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_eQTL,
neutrocytes,7,0.01,2.71288,-1,1217,12535,4988,139377,blueprint_neut_gene_nor_combat_fdr0.05,eQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_eQTL,
neutrocytes,7,0.001,3.76107,-1,504,12535,1490,139377,blueprint_neut_gene_nor_combat_fdr0.05,eQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_eQTL,
neutrocytes,7,1e-04,4.43779,-1,271,12535,679,139377,blueprint_neut_gene_nor_combat_fdr0.05,eQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_eQTL,
neutrocytes,7,1e-05,4.56021,0,162,12535,395,139377,blueprint_neut_gene_nor_combat_fdr0.05,eQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_eQTL,0
neutrocytes,7,1e-06,4.69021,0,116,12535,275,139377,blueprint_neut_gene_nor_combat_fdr0.05,eQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_eQTL,0
neutrocytes,7,1e-07,4.69979,0,82,12535,194,139377,blueprint_neut_gene_nor_combat_fdr0.05,eQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_eQTL,0
neutrocytes,7,1e-08,4.65264,0,59,12535,141,139377,blueprint_neut_gene_nor_combat_fdr0.05,eQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_eQTL,0
neutrocytes,8,0.1,1.41196,-1,11543,41658,27352,139377,blueprint_neut_meth_M_fdr0.05,mQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_mQTL,
neutrocytes,8,0.01,1.87745,-1,2799,41658,4988,139377,blueprint_neut_meth_M_fdr0.05,mQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_mQTL,
neutrocytes,8,0.001,2.3263,-1,1036,41658,1490,139377,blueprint_neut_meth_M_fdr0.05,mQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_mQTL,
neutrocytes,8,1e-04,2.50315,-1,508,41658,679,139377,blueprint_neut_meth_M_fdr0.05,mQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_mQTL,
neutrocytes,8,1e-05,2.54107,0,300,41658,395,139377,blueprint_neut_meth_M_fdr0.05,mQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_mQTL,0
neutrocytes,8,1e-06,2.5671,0,211,41658,275,139377,blueprint_neut_meth_M_fdr0.05,mQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_mQTL,0
neutrocytes,8,1e-07,2.55242,0,148,41658,194,139377,blueprint_neut_meth_M_fdr0.05,mQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_mQTL,0
neutrocytes,8,1e-08,2.5627,0,108,41658,141,139377,blueprint_neut_meth_M_fdr0.05,mQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_mQTL,0
neutrocytes,9,0.1,1.82392,-1,936,2615,27352,139377,blueprint_neut_psi_fdr0.05,psiQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_psiQTL,
neutrocytes,9,0.01,3.68648,-1,345,2615,4988,139377,blueprint_neut_psi_fdr0.05,psiQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_psiQTL,
neutrocytes,9,0.001,5.43722,-1,152,2615,1490,139377,blueprint_neut_psi_fdr0.05,psiQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_psiQTL,
neutrocytes,9,1e-04,6.5152,-1,83,2615,679,139377,blueprint_neut_psi_fdr0.05,psiQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_psiQTL,
neutrocytes,9,1e-05,7.01658,0,52,2615,395,139377,blueprint_neut_psi_fdr0.05,psiQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_psiQTL,0
neutrocytes,9,1e-06,7.36496,0,38,2615,275,139377,blueprint_neut_psi_fdr0.05,psiQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_psiQTL,0
neutrocytes,9,1e-07,7.69265,0,28,2615,194,139377,blueprint_neut_psi_fdr0.05,psiQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_psiQTL,0
neutrocytes,9,1e-08,8.69417,0,23,2615,141,139377,blueprint_neut_psi_fdr0.05,psiQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_psiQTL,0
T-cells,10,0.1,1.6586,-1,3583,11008,27352,139377,blueprint_tcel_K27AC_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,
T-cells,10,0.01,2.74399,-1,1081,11008,4988,139377,blueprint_tcel_K27AC_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,
T-cells,10,0.001,3.83242,-1,451,11008,1490,139377,blueprint_tcel_K27AC_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,
T-cells,10,1e-04,4.47532,-1,240,11008,679,139377,blueprint_tcel_K27AC_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,
T-cells,10,1e-05,4.74403,0,148,11008,395,139377,blueprint_tcel_K27AC_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,0
T-cells,10,1e-06,5.06457,0,110,11008,275,139377,blueprint_tcel_K27AC_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,0
T-cells,10,1e-07,5.28647,0,81,11008,194,139377,blueprint_tcel_K27AC_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,0
T-cells,10,1e-08,5.38784,0,60,11008,141,139377,blueprint_tcel_K27AC_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,0
T-cells,11,0.1,1.68048,-1,2758,8363,27352,139377,blueprint_tcel_K4ME1_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,
T-cells,11,0.01,2.83,-1,847,8363,4988,139377,blueprint_tcel_K4ME1_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,
T-cells,11,0.001,4.08259,-1,365,8363,1490,139377,blueprint_tcel_K4ME1_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,
T-cells,11,1e-04,5.08077,-1,207,8363,679,139377,blueprint_tcel_K4ME1_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,
T-cells,11,1e-05,5.35841,0,127,8363,395,139377,blueprint_tcel_K4ME1_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,0
T-cells,11,1e-06,5.33309,0,88,8363,275,139377,blueprint_tcel_K4ME1_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,0
T-cells,11,1e-07,5.58394,0,65,8363,194,139377,blueprint_tcel_K4ME1_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,0
T-cells,11,1e-08,5.9099,0,50,8363,141,139377,blueprint_tcel_K4ME1_log2rpm_fdr0.05,aceQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_aceQTL,0
T-cells,12,0.1,1.68635,-1,3960,11966,27352,139377,blueprint_tcel_gene_nor_combat_fdr0.05,eQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_eQTL,
T-cells,12,0.01,2.76716,-1,1185,11966,4988,139377,blueprint_tcel_gene_nor_combat_fdr0.05,eQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_eQTL,
T-cells,12,0.001,3.90082,-1,499,11966,1490,139377,blueprint_tcel_gene_nor_combat_fdr0.05,eQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_eQTL,
T-cells,12,1e-04,4.64881,-1,271,11966,679,139377,blueprint_tcel_gene_nor_combat_fdr0.05,eQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_eQTL,
T-cells,12,1e-05,4.6591,0,158,11966,395,139377,blueprint_tcel_gene_nor_combat_fdr0.05,eQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_eQTL,0
T-cells,12,1e-06,4.87088,0,115,11966,275,139377,blueprint_tcel_gene_nor_combat_fdr0.05,eQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_eQTL,0
T-cells,12,1e-07,5.1034,0,85,11966,194,139377,blueprint_tcel_gene_nor_combat_fdr0.05,eQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_eQTL,0
T-cells,12,1e-08,4.95649,0,60,11966,141,139377,blueprint_tcel_gene_nor_combat_fdr0.05,eQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_eQTL,0
T-cells,13,0.1,1.44211,-1,10064,35561,27352,139377,blueprint_tcel_meth_M_fdr0.05,mQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_mQTL,
T-cells,13,0.01,1.9864,-1,2528,35561,4988,139377,blueprint_tcel_meth_M_fdr0.05,mQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_mQTL,
T-cells,13,0.001,2.45421,-1,933,35561,1490,139377,blueprint_tcel_meth_M_fdr0.05,mQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_mQTL,
T-cells,13,1e-04,2.70143,-1,468,35561,679,139377,blueprint_tcel_meth_M_fdr0.05,mQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_mQTL,
T-cells,13,1e-05,2.72868,0,275,35561,395,139377,blueprint_tcel_meth_M_fdr0.05,mQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_mQTL,0
T-cells,13,1e-06,2.69368,0,189,35561,275,139377,blueprint_tcel_meth_M_fdr0.05,mQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_mQTL,0
T-cells,13,1e-07,2.687,0,133,35561,194,139377,blueprint_tcel_meth_M_fdr0.05,mQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_mQTL,0
T-cells,13,1e-08,2.7519,0,99,35561,141,139377,blueprint_tcel_meth_M_fdr0.05,mQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_mQTL,0
T-cells,14,0.1,1.75587,-1,1348,3912,27352,139377,blueprint_tcel_psi_fdr0.05,psiQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_psiQTL,
T-cells,14,0.01,3.27138,-1,458,3912,4988,139377,blueprint_tcel_psi_fdr0.05,psiQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_psiQTL,
T-cells,14,0.001,4.94967,-1,207,3912,1490,139377,blueprint_tcel_psi_fdr0.05,psiQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_psiQTL,
T-cells,14,1e-04,5.87679,-1,112,3912,679,139377,blueprint_tcel_psi_fdr0.05,psiQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_psiQTL,
T-cells,14,1e-05,6.31383,0,70,3912,395,139377,blueprint_tcel_psi_fdr0.05,psiQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_psiQTL,0
T-cells,14,1e-06,6.73694,0,52,3912,275,139377,blueprint_tcel_psi_fdr0.05,psiQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_psiQTL,0
T-cells,14,1e-07,6.61139,0,36,3912,194,139377,blueprint_tcel_psi_fdr0.05,psiQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_psiQTL,0
T-cells,14,1e-08,6.56971,0,26,3912,141,139377,blueprint_tcel_psi_fdr0.05,psiQTL,blueprint1,BLUEPRINT,GIANT_HEIGHT,BLUEPRINT_psiQTL,0
monocytes,17,0.1,1.75107,-1,3246,9446,27352,139377,fairfax_cis_fdr0.05,eQTL,fairfax1,Fairfax2014,GIANT_HEIGHT,Fairfax2014_eQTL,
monocytes,17,0.01,2.99067,-1,1011,9446,4988,139377,fairfax_cis_fdr0.05,eQTL,fairfax1,Fairfax2014,GIANT_HEIGHT,Fairfax2014_eQTL,
monocytes,17,0.001,4.32751,-1,437,9446,1490,139377,fairfax_cis_fdr0.05,eQTL,fairfax1,Fairfax2014,GIANT_HEIGHT,Fairfax2014_eQTL,
monocytes,17,1e-04,4.99806,-1,230,9446,679,139377,fairfax_cis_fdr0.05,eQTL,fairfax1,Fairfax2014,GIANT_HEIGHT,Fairfax2014_eQTL,
monocytes,17,1e-05,5.08025,0,136,9446,395,139377,fairfax_cis_fdr0.05,eQTL,fairfax1,Fairfax2014,GIANT_HEIGHT,Fairfax2014_eQTL,0
monocytes,17,1e-06,5.3655,0,100,9446,275,139377,fairfax_cis_fdr0.05,eQTL,fairfax1,Fairfax2014,GIANT_HEIGHT,Fairfax2014_eQTL,0
monocytes,17,1e-07,5.24796,0,69,9446,194,139377,fairfax_cis_fdr0.05,eQTL,fairfax1,Fairfax2014,GIANT_HEIGHT,Fairfax2014_eQTL,0
monocytes,17,1e-08,5.23232,0,50,9446,141,139377,fairfax_cis_fdr0.05,eQTL,fairfax1,Fairfax2014,GIANT_HEIGHT,Fairfax2014_eQTL,0
monocytes,18,0.1,1.4112,-1,3693,13335,27352,139377,immvar_cd14_eQTL_p1e-3,eQTL,immvar1,ImmVar,GIANT_HEIGHT,ImmVar_eQTL,
monocytes,18,0.01,2.02418,-1,966,13335,4988,139377,immvar_cd14_eQTL_p1e-3,eQTL,immvar1,ImmVar,GIANT_HEIGHT,ImmVar_eQTL,
monocytes,18,0.001,2.84097,-1,405,13335,1490,139377,immvar_cd14_eQTL_p1e-3,eQTL,immvar1,ImmVar,GIANT_HEIGHT,ImmVar_eQTL,
monocytes,18,1e-04,3.3865,-1,220,13335,679,139377,immvar_cd14_eQTL_p1e-3,eQTL,immvar1,ImmVar,GIANT_HEIGHT,ImmVar_eQTL,
monocytes,18,1e-05,3.49281,0,132,13335,395,139377,immvar_cd14_eQTL_p1e-3,eQTL,immvar1,ImmVar,GIANT_HEIGHT,ImmVar_eQTL,0
monocytes,18,1e-06,3.45865,0,91,13335,275,139377,immvar_cd14_eQTL_p1e-3,eQTL,immvar1,ImmVar,GIANT_HEIGHT,ImmVar_eQTL,0
monocytes,18,1e-07,3.44807,0,64,13335,194,139377,immvar_cd14_eQTL_p1e-3,eQTL,immvar1,ImmVar,GIANT_HEIGHT,ImmVar_eQTL,0
monocytes,18,1e-08,3.55812,3e-05,48,13335,141,139377,immvar_cd14_eQTL_p1e-3,eQTL,immvar1,ImmVar,GIANT_HEIGHT,ImmVar_eQTL,3e-05
monocytes,19,0.1,,-1,0,0,27352,139377,immvar_cd14_sQTL_p1e-12,sQTL,immvar1,ImmVar,GIANT_HEIGHT,ImmVar_sQTL,
