Index PThresh FE EmpPval NAnnotThesh NAnnot NThresh N Annotation Celltype Tissue Type Category
11 1e-06 31.1962 0 54 8583 284 1408205 blueprint_tcel_K4ME1_log2rpm_fdr0.05 tcel aceQTL blueprint1 blueprint
11 1e-07 35.6672 1e-05 35 8583 161 1408205 blueprint_tcel_K4ME1_log2rpm_fdr0.05 tcel aceQTL blueprint1 blueprint
11 1e-08 47.9303 0 26 8583 89 1408205 blueprint_tcel_K4ME1_log2rpm_fdr0.05 tcel aceQTL blueprint1 blueprint
12 0.1 2.54791 -1 6050 12840 260419 1408205 blueprint_tcel_gene_nor_combat_fdr0.05 tcel eQTL blueprint1 blueprint
12 0.01 6.12864 -1 2195 12840 39280 1408205 blueprint_tcel_gene_nor_combat_fdr0.05 tcel eQTL blueprint1 blueprint
12 0.001 12.0011 -1 808 12840 7384 1408205 blueprint_tcel_gene_nor_combat_fdr0.05 tcel eQTL blueprint1 blueprint
12 0.0001 20.0928 -1 360 12840 1965 1408205 blueprint_tcel_gene_nor_combat_fdr0.05 tcel eQTL blueprint1 blueprint
12 1e-05 26.0162 0 167 12840 704 1408205 blueprint_tcel_gene_nor_combat_fdr0.05 tcel eQTL blueprint1 blueprint
12 1e-06 31.6662 0 82 12840 284 1408205 blueprint_tcel_gene_nor_combat_fdr0.05 tcel eQTL blueprint1 blueprint
12 1e-07 34.06 0 50 12840 161 1408205 blueprint_tcel_gene_nor_combat_fdr0.05 tcel eQTL blueprint1 blueprint
12 1e-08 43.1299 0 35 12840 89 1408205 blueprint_tcel_gene_nor_combat_fdr0.05 tcel eQTL blueprint1 blueprint
13 0.1 2.35166 -1 17046 39196 260419 1408205 blueprint_tcel_meth_M_fdr0.05 tcel mQTL blueprint1 blueprint
13 0.01 4.97841 -1 5443 39196 39280 1408205 blueprint_tcel_meth_M_fdr0.05 tcel mQTL blueprint1 blueprint
13 0.001 8.76773 -1 1802 39196 7384 1408205 blueprint_tcel_meth_M_fdr0.05 tcel mQTL blueprint1 blueprint
13 0.0001 13.3105 -1 728 39196 1965 1408205 blueprint_tcel_meth_M_fdr0.05 tcel mQTL blueprint1 blueprint
13 1e-05 15.412 0 302 39196 704 1408205 blueprint_tcel_meth_M_fdr0.05 tcel mQTL blueprint1 blueprint
13 1e-06 18.5962 0 147 39196 284 1408205 blueprint_tcel_meth_M_fdr0.05 tcel mQTL blueprint1 blueprint
13 1e-07 21.1993 0 95 39196 161 1408205 blueprint_tcel_meth_M_fdr0.05 tcel mQTL blueprint1 blueprint
13 1e-08 23.8169 0 59 39196 89 1408205 blueprint_tcel_meth_M_fdr0.05 tcel mQTL blueprint1 blueprint
14 0.1 2.5626 -1 1961 4138 260419 1408205 blueprint_tcel_psi_fdr0.05 tcel psiQTL blueprint1 blueprint
14 0.01 6.55843 -1 757 4138 39280 1408205 blueprint_tcel_psi_fdr0.05 tcel psiQTL blueprint1 blueprint
14 0.001 13.3193 -1 289 4138 7384 1408205 blueprint_tcel_psi_fdr0.05 tcel psiQTL blueprint1 blueprint
14 0.0001 26.8438 -1 155 4138 1965 1408205 blueprint_tcel_psi_fdr0.05 tcel psiQTL blueprint1 blueprint
14 1e-05 35.2879 0 73 4138 704 1408205 blueprint_tcel_psi_fdr0.05 tcel psiQTL blueprint1 blueprint
14 1e-06 45.5345 0 38 4138 284 1408205 blueprint_tcel_psi_fdr0.05 tcel psiQTL blueprint1 blueprint
14 1e-07 54.957 0 26 4138 161 1408205 blueprint_tcel_psi_fdr0.05 tcel psiQTL blueprint1 blueprint
14 1e-08 61.1794 0 16 4138 89 1408205 blueprint_tcel_psi_fdr0.05 tcel psiQTL blueprint1 blueprint
15 0.1 2.66005 -1 5999 12195 260419 1408205 cmc_eQTL_fdr0.05.chrpos dlpfc eQTL CMC1 CMC
15 0.01 6.64093 -1 2259 12195 39280 1408205 cmc_eQTL_fdr0.05.chrpos dlpfc eQTL CMC1 CMC
15 0.001 13.5429 -1 866 12195 7384 1408205 cmc_eQTL_fdr0.05.chrpos dlpfc eQTL CMC1 CMC
15 0.0001 23.0948 -1 393 12195 1965 1408205 cmc_eQTL_fdr0.05.chrpos dlpfc eQTL CMC1 CMC
15 1e-05 31.985 0 195 12195 704 1408205 cmc_eQTL_fdr0.05.chrpos dlpfc eQTL CMC1 CMC
15 1e-06 38.2203 0 94 12195 284 1408205 cmc_eQTL_fdr0.05.chrpos dlpfc eQTL CMC1 CMC
15 1e-07 42.3165 0 59 12195 161 1408205 cmc_eQTL_fdr0.05.chrpos dlpfc eQTL CMC1 CMC
15 1e-08 58.3857 0 45 12195 89 1408205 cmc_eQTL_fdr0.05.chrpos dlpfc eQTL CMC1 CMC
16 0.1 2.65297 -1 6585 13422 260419 1408205 cmc_isoQTL_fdr0.05.chrpos dlpfc isoQTL CMC1 CMC
16 0.01 6.72296 -1 2517 13422 39280 1408205 cmc_isoQTL_fdr0.05.chrpos dlpfc isoQTL CMC1 CMC
